"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2","data"
"132",2012-01-26,NA,NA,74.6666666666667,NA,NA,9.10833333333333,13.8,4.2,NA,1345,741333,1.81429937693317,NA,68.5,70.29,174.83,NA,NA,NA,NA,2012-01-26
"133",2012-01-27,NA,NA,67.4166666666667,NA,NA,10.6416666666667,12.7,8.4,NA,1182,593431,1.99180696660606,NA,39.29,59.04,118.42,NA,NA,NA,NA,2012-01-27
"134",2012-01-28,NA,NA,80.2916666666667,NA,NA,8.63333333333333,10,7.4,NA,258,169549,1.52168399695663,NA,27.79,55.04,97.33,NA,NA,NA,NA,2012-01-28
"135",2012-01-29,NA,NA,63.5416666666667,NA,NA,7.15833333333333,9.7,4.7,NA,145,99723,1.45402765660881,NA,12.5,40.46,59.17,NA,NA,NA,NA,2012-01-29
"136",2012-01-30,NA,NA,48.375,NA,NA,7.2375,11.5,3.8,NA,1962,964805,2.03357155072787,NA,41.08,68.54,131.21,NA,NA,NA,NA,2012-01-30
"137",2012-01-31,NA,NA,49.875,NA,NA,7.77916666666667,11.4,4.4,NA,1577,857475,1.83912067407213,NA,25.54,58.58,97.25,NA,NA,NA,NA,2012-01-31
"138",2012-02-01,NA,NA,79.875,NA,NA,5.95833333333333,7.4,3.9,NA,1441,809233,1.78069851328357,NA,65.54,62,161.92,NA,NA,NA,NA,2012-02-01
"139",2012-02-02,NA,NA,77.0416666666667,NA,NA,3.02916666666667,4.7,1.5,NA,1203,697658,1.72434057948164,NA,27.08,54.17,95.42,NA,NA,NA,NA,2012-02-02
"140",2012-02-03,NA,NA,46.125,NA,NA,2.55833333333333,4.9,0.7,NA,1225,657480,1.86317454523332,NA,10.95,48.81,64.27,NA,NA,NA,NA,2012-02-03
"141",2012-02-04,NA,NA,23.0833333333333,NA,NA,2.64583333333333,6.7,-0.3,NA,281,185417,1.51550289347794,NA,6.04,34.58,43.29,NA,NA,NA,NA,2012-02-04
"142",2012-02-05,NA,NA,48,NA,NA,2.59583333333333,6.9,-1.9,NA,96,69660,1.37812230835487,NA,13.54,56.5,76.88,NA,NA,NA,NA,2012-02-05
"143",2012-02-06,NA,NA,43.7916666666667,NA,NA,6.2,12.9,0.3,NA,2536,1281926,1.97827331686852,NA,28.5,51.92,95.21,NA,NA,NA,NA,2012-02-06
"144",2012-02-07,NA,NA,17.9166666666667,NA,NA,7.2625,12.4,3,NA,2017,1063775,1.89607764799887,NA,10.42,49.33,64.58,NA,NA,NA,NA,2012-02-07
